Vendor ID,Vendor Name,Vendor Category,Invoice Number,Invoice Date,Invoice Amount,Due Date,Payment Date,Payment Status,Payment Method,Days Overdue
VEN001,"Kelley, Wilson and Noble",Logistics,INV-2023-001,26-01-2025,195386.22,25-02-2025,20-02-2025,Paid,Cheque,0
VEN002,White LLC,Restaurant Partners,INV-2023-002,07-09-2024,42056.5,07-10-2024,,Overdue,UPI,157
VEN003,Parks and Sons,Marketing,INV-2023-003,25-10-2024,176990.4,24-11-2024,29-11-2024,Paid,Cheque,0
VEN004,"Bond, Mendez and Cochran",Restaurant Partners,INV-2023-004,26-03-2024,33654.45,25-04-2024,20-04-2024,Paid,UPI,0
VEN005,"Vincent, Welch and Camacho",Logistics,INV-2023-005,19-11-2024,29099.48,19-12-2024,19-12-2024,Paid,Bank Transfer,0
VEN006,"Pearson, May and Price",Logistics,INV-2023-006,26-08-2024,71072.64,25-09-2024,,Pending,Bank Transfer,0
VEN007,Bridges Inc,Logistics,INV-2023-007,30-12-2024,70606.73,29-01-2025,29-01-2025,Paid,Bank Transfer,0
VEN008,"Carter, Maxwell and Austin",Marketing,INV-2023-008,02-04-2024,142209.16,02-05-2024,,Overdue,UPI,315
VEN009,Meyer-Williams,Marketing,INV-2023-009,20-12-2024,27509.44,19-01-2025,,Overdue,UPI,53
VEN010,"Lee, Smith and Jackson",Marketing,INV-2023-010,24-10-2024,82515.24,23-11-2024,,Overdue,UPI,110
VEN011,Carr-Barnett,Logistics,INV-2023-011,11-04-2024,108667.13,11-05-2024,,Pending,UPI,0
VEN012,Kennedy-Francis,Logistics,INV-2023-012,10-11-2024,196564.02,10-12-2024,,Overdue,UPI,93
VEN013,Blair Ltd,Marketing,INV-2023-013,26-05-2024,56269.34,25-06-2024,23-06-2024,Paid,Bank Transfer,0
VEN014,Martin-Smith,Logistics,INV-2023-014,23-10-2024,39346.36,22-11-2024,27-11-2024,Paid,Cheque,0
VEN015,"Chavez, Tran and Holden",Logistics,INV-2023-015,14-01-2025,38138.56,13-02-2025,,Overdue,Cheque,28
VEN016,Singh-Harrell,Restaurant Partners,INV-2023-016,27-02-2025,164226.72,29-03-2025,,Pending,Bank Transfer,0
VEN017,Deleon Ltd,Packaging,INV-2023-017,13-04-2024,132531.23,13-05-2024,,Pending,Cheque,0
VEN018,Walton-Owen,Marketing,INV-2023-018,06-04-2024,101636.16,06-05-2024,06-05-2024,Paid,UPI,0
VEN019,Smith and Sons,Logistics,INV-2023-019,10-02-2025,7526.14,12-03-2025,10-03-2025,Paid,UPI,0
VEN020,Johnson-Clark,Logistics,INV-2023-020,20-06-2024,159795.44,20-07-2024,,Overdue,Cheque,236
VEN021,Jacobs and Sons,Packaging,INV-2023-021,17-02-2025,119304.53,19-03-2025,,Pending,UPI,0
VEN022,Anderson Inc,Packaging,INV-2023-022,01-12-2024,100592.76,31-12-2024,,Overdue,UPI,72
VEN023,"Parker, Fletcher and Gilbert",Marketing,INV-2023-023,12-03-2024,22436.24,11-04-2024,,Pending,Cheque,0
VEN024,Collins and Sons,Marketing,INV-2023-024,07-03-2025,139305.24,06-04-2025,11-04-2025,Paid,UPI,0
VEN025,"Perez, Sullivan and Thomas",Marketing,INV-2023-025,23-03-2024,94836.38,22-04-2024,,Pending,UPI,0
VEN026,Hancock-Garcia,Marketing,INV-2023-026,18-11-2024,130836.05,18-12-2024,16-12-2024,Paid,Bank Transfer,0
VEN027,Wiley-Sullivan,Marketing,INV-2023-027,19-05-2024,74052.84,18-06-2024,13-06-2024,Paid,Bank Transfer,0
VEN028,Wilson Ltd,Marketing,INV-2023-028,29-06-2024,31282.01,29-07-2024,29-07-2024,Paid,Bank Transfer,0
VEN029,"Fields, Johnson and Shelton",Logistics,INV-2023-029,28-04-2024,99162.06,28-05-2024,26-05-2024,Paid,Cheque,0
VEN030,Gomez-White,Marketing,INV-2023-030,19-05-2024,43997.05,18-06-2024,,Overdue,Cheque,268
VEN031,Baldwin-King,Marketing,INV-2023-031,11-05-2024,27461.98,10-06-2024,,Pending,Bank Transfer,0
VEN032,"Kim, Day and Davis",Restaurant Partners,INV-2023-032,17-05-2024,59151.54,16-06-2024,11-06-2024,Paid,Bank Transfer,0
VEN033,"Schultz, Sparks and Wolf",Restaurant Partners,INV-2023-033,14-08-2024,110015.62,13-09-2024,,Overdue,Bank Transfer,181
VEN034,"Thompson, Day and Duran",Restaurant Partners,INV-2023-034,24-04-2024,172297.94,24-05-2024,,Overdue,Cheque,293
VEN035,Young PLC,Marketing,INV-2023-035,18-10-2024,132764.62,17-11-2024,,Overdue,Cheque,116
VEN036,Stone Ltd,Restaurant Partners,INV-2023-036,11-07-2024,159865.02,10-08-2024,20-08-2024,Paid,Cheque,0
VEN037,Lin-Mcfarland,Packaging,INV-2023-037,18-02-2025,103610.16,20-03-2025,,Overdue,Bank Transfer,-7
VEN038,"Garcia, Phillips and Garcia",Marketing,INV-2023-038,18-08-2024,44117.15,17-09-2024,,Pending,UPI,0
VEN039,Castillo Inc,Marketing,INV-2023-039,26-03-2024,78961.25,25-04-2024,,Overdue,UPI,322
VEN040,"Moyer, Barton and Rodriguez",Logistics,INV-2023-040,22-11-2024,101396.94,22-12-2024,27-12-2024,Paid,Cheque,0
VEN041,Reed PLC,Restaurant Partners,INV-2023-041,16-12-2024,23587.48,15-01-2025,,Overdue,Bank Transfer,57
VEN042,Jennings-Garner,Logistics,INV-2023-042,12-07-2024,49333.15,11-08-2024,,Overdue,Cheque,214
VEN043,"Rowe, Galloway and Valdez",Marketing,INV-2023-043,30-01-2025,47466.78,01-03-2025,,Pending,UPI,0
VEN044,Curtis Group,Logistics,INV-2023-044,05-04-2024,71442.79,05-05-2024,30-04-2024,Paid,Bank Transfer,0
VEN045,Ward-Villegas,Restaurant Partners,INV-2023-045,17-02-2025,135067.03,19-03-2025,,Pending,Cheque,0
